  Word				Document List			Total_Frequency		Doc1_Freq		Doc2_Freq		Doc3_Freq		Doc4_Freq		Doc5_Freq		Doc6_Freq		Doc7_Freq		Doc8_Freq		Doc9_Freq		Doc10_Freq
  afford			  {1, 7}				       2		       1		       0		       0		       0		       0		       0		       1		       0		       0		       0
  africa			{1, 6, 7}				       6		       2		       0		       0		       0		       0		       1		       3		       0		       0		       0
 african			     {8}				       1		       0		       0		       0		       0		       0		       0		       0		       1		       0		       0
afterward			{8, 6, 7}				       3		       0		       0		       0		       0		       0		       1		       1		       1		       0		       0
 agassiz			     {6}				       1		       0		       0		       0		       0		       0		       1		       0		       0		       0		       0
     age			{1, 2, 4, 5, 6, 7, 9, 10}				      62		       7		       1		       0		       1		       1		       9		      28		       0		       8		       7
   agenc			{1, 10, 4}				       7		       5		       0		       0		       1		       0		       0		       0		       0		       0		       1
   agent			{10, 6, 7}				       3		       0		       0		       0		       0		       0		       1		       1		       0		       0		       1
agglomer			     {4}				       1		       0		       0		       0		       1		       0		       0		       0		       0		       0		       0
    agit			     {9}				       5		       0		       0		       0		       0		       0		       0		       0		       0		       5		       0
     ago			{1, 6, 7, 9, 10}				      20		       4		       0		       0		       0		       0		       3		       2		       0		       7		       4
    agre			 {1, 10}				      11		       1		       0		       0		       0		       0		       0		       0		       0		       0		      10
agreement			 {9, 10}				      21		       0		       0		       0		       0		       0		       0		       0		       0		       3		      18
   ahead			 {10, 3}				       2		       0		       0		       1		       0		       0		       0		       0		       0		       0		       1
     aid			 {10, 7}				       2		       0		       0		       0		       0		       0		       0		       1		       0		       0		       1
     aim			  {1, 6}				       3		       2		       0		       0		       0		       0		       1		       0		       0		       0		       0
 aimless			     {8}				       1		       0		       0		       0		       0		       0		       0		       0		       1		       0		       0
     air			{1, 2, 3, 4, 6, 7, 9, 10}				      51		       2		       1		       1		       8		       0		       5		      23		       0		       9		       2
      ak			    {10}				       1		       0		       0		       0		       0		       0		       0		       0		       0		       0		       1
   alacr			     {8}				       2		       0		       0		       0		       0		       0		       0		       0		       2		       0		       0
  alaska			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
 albatro			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
albatross			     {1}				       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
 albumin			     {6}				       1		       0		       0		       0		       0		       0		       1		       0		       0		       0		       0
 alchemi			     {9}				       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
    alfr			    {10}				       1		       0		       0		       0		       0		       0		       0		       0		       0		       0		       1
     alg			     {7}				       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
   algol			     {5}				       3		       0		       0		       0		       0		       3		       0		       0		       0		       0		       0
    aliv			  {5, 7}				       2		       0		       0		       0		       0		       1		       0		       1		       0		       0		       0
allantoi			     {7}				       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
    alli			     {7}				       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
   allig			{8, 1, 7}				       3		       1		       0		       0		       0		       0		       0		       1		       1		       0		       0
   allot			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
   allow			{2, 5, 6, 7, 10}				      10		       0		       2		       0		       0		       2		       2		       2		       0		       0		       2
 almanac			     {5}				       2		       0		       0		       0		       0		       2		       0		       0		       0		       0		       0
  almost			{1, 2, 3, 5, 6, 7, 8, 9, 10}				      27		       8		       1		       1		       0		       1		       6		       4		       3		       1		       2
