    agit			       5		       0		       0		       0		       0		       0		       0		       0		       0		       5		       0
     ago			      20		       4		       0		       0		       0		       0		       3		       2		       0		       7		       4
    agre			      11		       1		       0		       0		       0		       0		       0		       0		       0		       0		      10
agreement			      21		       0		       0		       0		       0		       0		       0		       0		       0		       3		      18
   ahead			       2		       0		       0		       1		       0		       0		       0		       0		       0		       0		       1
     aid			       2		       0		       0		       0		       0		       0		       0		       1		       0		       0		       1
     aim			       3		       2		       0		       0		       0		       0		       1		       0		       0		       0		       0
 aimless			       1		       0		       0		       0		       0		       0		       0		       0		       1		       0		       0
     air			      51		       2		       1		       1		       8		       0		       5		      23		       0		       9		       2
      ak			       1		       0		       0		       0		       0		       0		       0		       0		       0		       0		       1
   alacr			       2		       0		       0		       0		       0		       0		       0		       0		       2		       0		       0
  alaska			       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
 albatro			       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
albatross			       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
 albumin			       1		       0		       0		       0		       0		       0		       1		       0		       0		       0		       0
 alchemi			       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
    alfr			       1		       0		       0		       0		       0		       0		       0		       0		       0		       0		       1
     alg			       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
   algol			       3		       0		       0		       0		       0		       3		       0		       0		       0		       0		       0
    aliv			       2		       0		       0		       0		       0		       1		       0		       1		       0		       0		       0
allantoi			       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
    alli			       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
   allig			       3		       1		       0		       0		       0		       0		       0		       1		       1		       0		       0
   allot			       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
   allow			      10		       0		       2		       0		       0		       2		       2		       2		       0		       0		       2
 almanac			       2		       0		       0		       0		       0		       2		       0		       0		       0		       0		       0
  almost			      27		       8		       1		       1		       0		       1		       6		       4		       3		       1		       2
    alon			       3		       0		       1		       0		       0		       0		       0		       1		       0		       0		       1
   along			      23		       1		       1		       0		       2		       4		       5		       3		       3		       4		       0
alongsid			       2		       0		       0		       0		       0		       0		       2		       0		       0		       0		       0
     alp			       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
   alpha			       4		       1		       0		       0		       0		       1		       0		       0		       0		       2		       0
   alpin			       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
 alreadi			      18		       1		       1		       1		       1		       4		       1		       2		       0		       2		       5
alsatian			       2		       1		       0		       0		       0		       0		       0		       0		       1		       0		       0
    also			      55		       6		       2		       2		       3		       3		       3		      16		       1		       7		      12
altamira			       2		       2		       0		       0		       0		       0		       0		       0		       0		       0		       0
   alter			       5		       0		       0		       0		       0		       0		       1		       0		       1		       1		       2
  altern			       6		       1		       0		       0		       0		       0		       1		       1		       0		       2		       1
although			      16		       2		       1		       0		       2		       0		       1		       3		       1		       1		       5
altogeth			       8		       0		       0		       0		       0		       2		       2		       2		       1		       1		       0
   alway			      23		       3		       1		       4		       2		       0		       8		       2		       2		       0		       1
   amaru			       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
 amateur			       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
    amaz			       1		       0		       1		       0		       0		       0		       0		       0		       0		       0		       0
amazingli			       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
 america			       9		       1		       0		       0		       0		       0		       0		       8		       0		       0		       0
american			       3		       1		       0		       0		       1		       0		       0		       0		       0		       1		       0
americana			       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
    amid			       1		       0		       0		       0		       0		       0		       0		       0		       1		       0		       0
ammoniac			       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
  amnion			       2		       0		       0		       0		       0		       0		       0		       2		       0		       0		       0
 amniota			       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
